" "," ",module,Magento_ImportExport
"Add Product To Websites","Voeg product toe aan websites",module,Magento_Catalog
"Add Product by SKU","Product toevoegen op art.nr.",module,Magento_VisualMerchandiser
"Add Products","Producten toevoegen",module,Magento_Sales
"Add Products By SKU","Voeg producten toe via SKU",module,Magento_AdvancedCheckout
"Add Products Manually","Producten handmatig toevoegen",module,Magento_ConfigurableProduct
"Add Products to Group","Producten aan groep toevoegen",module,Magento_GroupedProduct
"Add Products to New Option","Producten aan nieuwe optie toevoegen",module,Magento_Bundle
"Add Products to Option","Producten toevoegen aan optie",module,Magento_Bundle
"Add Products to Option ""%1""","Producten aan optie ""%1"" toevoegen",module,Magento_Bundle
"Add Products to Order","Voeg producten toe aan bestelling",module,Magento_AdvancedCheckout
"Add Products to Package","Producten toevoegen aan pakket",module,Magento_Shipping
"Add Products to Quote","Producten toevoegen aan offerte",module,Magento_NegotiableQuote
"Add Registrant","Registrant toevoegen",module,Magento_GiftRegistry
"Add Related Products","Voeg gerelateerde producten toe",module,Magento_Catalog
"Add Reward Points","Spaarpunten toevoegen",module,Magento_Reward
"Add Root Category","Rootcategorie toevoegen",module,Magento_Catalog
"Add Row","Rij Toevoegen",module,Magento_AdvancedCheckout
"Add Rule","Regel toevoegen",module,Magento_Braintree
"Add Scheduled Export","Voeg geplande export toe",module,Magento_ScheduledImportExport
"Add Scheduled Import","Voeg geplande import toe",module,Magento_ScheduledImportExport
"Add Secret Key to URLs","Voeg secret key aan URL's toe",module,Magento_Backend
"Add Segment","Voeg segment toe",module,Magento_CustomerSegment
"Add Selected","Voeg selectie toe",module,Magento_Catalog
"Add Selected Product(s) to Order","Geselecteerd(e) product(en) toevoegen aan order",module,Magento_Sales
"Add Selected Product(s) to Package","Geselecteerde product(en) toevoegen aan pakket",module,Magento_Shipping
"Add Selected Product(s) to returns","Voeg geselecteerde producten toe aan retour",module,Magento_Rma
"Add Selected Products","Voeg geselecteerde producten toe",module,Magento_Catalog
"Add Shared Catalog","Gedeelde catalogus toevoegen",module,Magento_SharedCatalog
"Add Shopping Cart to Requisition List","Winkelwagen toevoegen aan bestellijst",module,Magento_RequisitionList
"Add Sitefolder","Add Sitefolder",module,Magento_Sitefolder
"Add Sitemap","Sitemap toevoegen",module,Magento_Sitemap
"Add Store Code to Urls","Voeg winkelcode aan URL's toe",module,Magento_Backend
"Add Subcategory","Subcategorie toevoegen",module,Magento_Catalog
"Add Swatch","Swatch toevoegen",module,Magento_Swatches
"Add Tax","Belasting toevoegen",module,Magento_Weee
"Add Team","Team toevoegen",module,Magento_Company
"Add To Cart","In winkelwagen",module,Magento_Catalog
"Add To Compare","Aan productvergelijking toevoegen",module,Magento_Catalog
"Add To Order","Toevoegen aan bestelling",module,Magento_Sales
"Add To Wishlist","Add To Wishlist",module,Magento_Wishlist
"Add Tracking Number","Voeg trackingnummer toe",module,Magento_Shipping
"Add URL Rewrite","URL-rewrite toevoegen",module,Magento_UrlRewrite
"Add URL Rewrite for CMS page","URL-rewrite voor CMS-pagina toevoegen",module,Magento_UrlRewrite
"Add URL Rewrite for a Category","URL-rewrite voor een categorie",module,Magento_UrlRewrite
"Add URL Rewrite for a Product","URL-rewrite voor een product toevoegen",module,Magento_UrlRewrite
"Add Up-Sell Products","Voeg up-sell-producten toe",module,Magento_Catalog
"Add User","Gebruiker toevoegen",module,Magento_Company
"Add Value","Voeg waarde toe",module,Magento_Catalog
"Add Video","Video toevoegen",module,Magento_ProductVideo
"Add Widget","Widget toevoegen",module,Magento_Widget
"Add Your Review","Jouw review toevoegen",module,Magento_Review
"Add \Exception","\Uitzondering toevoegen",module,Magento_Config
"Add after","Toevoegen na",module,Magento_Config
"Add another payment method to your existing solution or as a stand-alone option.","Voeg nog een betaalmethode toe aan je bestaande oplossing of als op zichzelf staande optie.",module,Magento_Paypal
"Add configurable attributes to the current Attribute Set","Voeg configureerbare attributen toe aan de huidige attributenset",module,Magento_ConfigurableProduct
"Add configurable attributes to the current Attribute Set (""%1"")","Configureerbare attributen toevoegen aan de huidige attributenset (""%1"")",module,Magento_ConfigurableProduct
"Add configurable attributes to the current Attribute Set (%1"")""","Toevoegen van configureerbare attributen aan de huidige attributenset (%1"")""",module,Magento_ConfigurableProduct
"Add configurable attributes to the existing Attribute Set","Voeg configureerbare attributen toe aan de bestaande attributenset",module,Magento_ConfigurableProduct
"Add configurable attributes to the new Attribute Set based on current","Toevoegen van configureerbare attributen aan de nieuwe attributenset gebaseerd op de huidige",module,Magento_ConfigurableProduct
"Add from File","Van bestand toevoegen",module,Magento_QuickOrder
"Add gift options","Cadeau-opties toevoegen",module,Magento_GiftMessage
"Add gift options for Individual Items","Cadeau-opties toevoegen voor losse items",module,Magento_GiftMessage
"Add item","Artikel toevoegen",module,Magento_RequisitionList
"Add item to requisition list","Artikel toevoegen aan bestellijst",module,Magento_RequisitionList
"Add items","Artikelen toevoegen",module,Magento_RequisitionList
"Add items to requisition list","Artikelen toevoegen aan bestellijst",module,Magento_RequisitionList
"Add links to your product files here.","Voeg hier links toe aan jouw productbestanden.",module,Magento_Downloadable
"Add new card","Nieuwe kaart toevoegen",module,Magento_Braintree
"Add or remove gift cards","Toevoegen of verwijderen van cadeaubonnen",module,Magento_GiftCardAccount
"Add product preview files here.","Voeg hier product voorbeeld bestanden toe.",module,Magento_Downloadable
"Add selected page(s) to the tree","Geselecteerde pagina('s) toevoegen aan de hiërarchie.",module,Magento_VersionsCms
"Add selections to my cart","Selectie toevoegen aan winkelwagen",module,Magento_AdvancedCheckout
"Add the following parameter to the URL to show template hints ?templatehints=[parameter_value]","Voeg de volgende parameter toe aan de URL om template-hints weer te geven ?templatehints=[parameter_value]",module,Magento_Backend
"Add this attribute to the list of column options in the product grid.","Voeg deze attribuut aan de lijst van kolomopties in de product-grid.",module,Magento_Catalog
"Add this attribute to the list of filter options in the product grid.","Voeg deze attribuut aan de lijst van filteropties in de product-grid.",module,Magento_Catalog
"Add to Cart","Aan winkelwagen toevoegen",module,Magento_Wishlist
"Add to Column Options","Toevoegen aan kolomopties",module,Magento_Catalog
"Add to Compare","Voeg toe om te vergelijken",module,Magento_Wishlist
"Add to Gift Registry","Voeg toe aan verlanglijst",module,Magento_GiftRegistry
"Add to List","Toevoegen aan Lijst",module,Magento_QuickOrder
"Add to Order","Voeg toe aan bestelling",module,Magento_AdvancedCheckout
"Add to Order by SKU","Toevoegen aan bestelling via art.nr.",module,Magento_AdvancedCheckout
"Add to Queue","Toevoegen aan wachtrij",module,Magento_Newsletter
"Add to Quote","Toevoegen aan offerte",module,Magento_NegotiableQuote
"Add to Quote by SKU","Voeg toe aan de offerte via SKU",module,Magento_NegotiableQuote
"Add to Requisition List","Toevoegen aan bestellijst",module,Magento_RequisitionList
"Add to Shopping Cart","Voeg toe aan winkelwagen",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr.",module,Magento_AdvancedCheckout
"Add to Wish List","Aan verlanglijst toevoegen",module,Magento_Wishlist
"Add to Wishlist","Toevoegen aan verlanglijst",module,Magento_Catalog
"Add to address book","Add to address book",module,Magento_Sales
"Add to tree.","Voeg toe aan boom.",module,Magento_VersionsCms
"Add to:","Toevoegen aan:",module,Magento_MultipleWishlist
"Add video","Video toevoegen",module,Magento_ProductVideo
Add/Update,Toevoegen/Updaten,module,Magento_ImportExport
"Add/Update Address","Add/Update Address",module,Magento_Customer
"Add/Update Complex Data","Toevoegen/Updaten complexe data",module,Magento_ImportExport
Added,Toegevoegd,module,Magento_Catalog
"Added On","Toegevoegd op",module,Magento_GiftRegistry
"Added for spent money according to reward exchange rates.","Toegevoegd voor geld uitgegeven, volgens de spaarpunt-wisselkoers",module,Magento_Reward
Adding...,"Bezig met toevoegen...",module,Magento_Catalog
"Additional Address Entries","Extra adresvermeldingen",module,Magento_Customer
"Additional Attribute Table","Extra kenmerk tabel",module,Magento_Support
"Additional Cache Management","Additionele Cache Management",module,Magento_Backend
"Additional Options","Extra opties",module,Magento_Paypal
"Additional Settings","Aanvullende instellingen",module,Magento_Backend
"Additional addresses","Additional addresses",module,Magento_Customer
"Additional attributes usable in category rules","Extra attributen die gebruikt worden bij categorieregels",module,Magento_VisualMerchandiser
"Additional data","Aanvullende gegevens",module,Magento_ImportExport
Address,Adres,module,Magento_Sales
"Address ""id"" value should be specified","Adres ""id"" moet worden opgegeven",module,Magento_CustomerGraphQl
"Address %1 <span>of %2</span>","Adres %1 <span>van %2</span>",module,Magento_Multishipping
"Address AVS check","Adres AVS controle",module,Magento_Worldpay
"Address Attributes","Adres eigenschappen",module,Magento_CustomerSegment
"Address Book",Adresboek,theme,frontend/Magento/blank
"Address Information","Adres informatie",module,Magento_Sales
"Address Templates",Adrestemplates,module,Magento_Customer
"Address Type",Adrestype,module,Magento_CustomerSegment
"Address Verification","Adres verificatie",module,Magento_Eway
"Address Verification System Response","Addres verificatiesysteem respons",module,Magento_Paypal
"Address is invalid. Please contact the store administrator.","Adres is onjuist. Neem contact op met de beheerder van de winkel.",module,Magento_Braintree
"Address not found.","Address not found.",module,Magento_Customer
Addresses,Adressen,module,Magento_Customer
"Addresses must have at least one field filled in.","Er moet ten minste één veld ingevuld zijn.",module,Magento_Braintree
"Adjust Fixed Price","Vaste prijs aanpassen",module,Magento_SharedCatalog
"Adjust final price to discount value","Pas uiteindelijke prijs aan naar de kortingswaarde",module,Magento_CatalogRule
"Adjust final price to this percentage","Pas uiteindelijk prijs aan naar dit percentage",module,Magento_CatalogRule
"Adjustment Fee",Aanpassingstoeslag,module,Magento_Sales
"Adjustment Refund","Aanpassing restitutie",module,Magento_Sales
Admin,Admin,module,Magento_Swatches
"Admin 1column","Admin 1kolom",module,Magento_Theme
"Admin 2 columns with left bar","Admin 2 columns with left bar",module,Magento_Theme
"Admin Access Key","Beheerder toegangssleutel",module,Magento_Cybersource
"Admin Account Sharing","Admin account delen",module,Magento_Security
"Admin Actions Archive","Admin Acties Archief",module,Magento_Logging
